"","Stud","Field","Course1","Course2","Course3","Course4","Course5"
"91","stud91","Bio",13.28,9.17,17.79,3.17,11.02
"92","stud92","Bio",15.21,10.27,5.74,4.41,10.68
"93","stud93","Bio",11.89,10.39,6.39,5.6,10.34
"94","stud94","Bio",13.92,10,16.57,7.08,13.27
"95","stud95","Bio",16.19,11.31,15.59,5.93,7.81
"96","stud96","Bio",14.55,9.51,18.72,6.59,10.56
"97","stud97","Bio",13.57,9.65,12.44,7.1,9.47
"98","stud98","Bio",13.78,10.47,17.69,1.8,8.93
"99","stud99","Bio",13.94,NA,5.44,2.61,10.59
"100","stud100","Bio",14.32,9.34,11.93,9.1,9.83
"101","stud101","Bio",12.61,8.77,18.4,6.88,7.92
"103","stud103","Bio",14.43,9.8,15.69,4.5,8.57
"104","stud104","Bio",15.81,10.19,14.85,5.44,9.37
"105","stud105","Bio",12.39,11.3,13.16,1.36,10.08
"106","stud106","Bio",13.13,10.95,13.59,3.48,12.77
"107","stud107","Bio",15.48,8.97,15.1,2.45,9.32
"108","stud108","Bio",13.94,8.96,13.66,1.6,12.24
"109","stud109","Bio",13.62,9.36,16.98,4.11,5.89
"110","stud110","Bio",13.85,9.66,8.48,3.93,10.47
"111","stud111","Bio",13.44,8.98,9.88,4.92,11.7
"112","stud112","Bio",13.66,9.87,16.87,7.24,10.42
"113","stud113","Bio",14.51,8.03,14.52,4.42,9.82
"114","stud114","Bio",13.24,9.47,9.67,1.94,9.01
"115","stud115","Bio",12.84,10.36,19.15,3.5,12.57
